+887,9,959,629
+454,398,844,448
-539,243,559,965
-370,819,676,868
-145,40,370,997
-301,3,808,453
+351,678,951,908
|720,196,897,994
|831,394,904,860
|753,664,970,926
-150,300,213,740
+141,242,932,871
|294,259,474,326
|678,333,752,957
|393,804,510,976
-6,964,411,976
-33,572,978,590
+579,693,650,978
+150,20,652,719
-782,143,808,802
-240,377,761,468
-899,828,958,967
+613,565,952,659
+295,36,964,978
|846,296,969,528
-211,254,529,491
-231,594,406,794
-169,791,758,942
+955,440,980,477
|944,498,995,928
+519,391,605,718
|521,303,617,366
-524,349,694,791
|391,87,499,792
|562,527,668,935
-68,358,857,453
|815,811,889,828
-666,61,768,87
+27,501,921,952
+953,102,983,471
+277,552,451,723
-64,253,655,960
+47,485,734,977
-59,119,699,734
|407,898,493,955
|912,966,949,991
+479,990,895,990
|390,589,869,766
|593,903,926,943
|358,439,870,528
-649,410,652,875
+629,834,712,895
|254,555,770,901
|641,832,947,850
+268,448,743,777
-512,123,625,874
-498,262,930,811
-835,158,886,242
|546,310,607,773
+501,505,896,909
-666,796,817,924
|987,789,993,809
|745,8,860,693
|181,983,731,988
+826,174,924,883
+239,228,843,993
+205,613,891,667
|867,873,984,896
+628,251,677,681
|276,956,631,964
+78,358,974,713
+521,360,773,597
-963,52,979,502
+117,151,934,622
|237,91,528,164
+944,269,975,453
|979,460,988,964
-440,254,681,507
|347,100,896,785
-329,592,369,985
+931,960,979,985
|703,3,776,36
|798,120,908,550
-186,605,914,709
-921,725,979,956
|167,34,735,249
+726,781,987,936
|720,336,847,756
+171,630,656,769
-417,276,751,500
|559,485,584,534
+568,629,690,873
|248,712,277,988
|345,594,812,723
-800,108,834,618
-967,439,986,869
+842,209,955,529
+132,653,357,696
+817,38,973,662
-569,816,721,861
+568,429,945,724
+77,458,844,685
-138,78,498,851
+136,21,252,986
-2,460,863,472
+172,81,839,332
+123,216,703,384
-879,644,944,887
|227,491,504,793
|580,418,741,479
|65,276,414,299
|482,486,838,931
-557,768,950,927
-615,617,955,864
+859,886,923,919
+391,330,499,971
|521,835,613,847
+822,787,989,847
+192,142,357,846
-564,945,985,945
-479,361,703,799
|56,481,489,978
-632,991,774,998
|723,526,945,792
+344,149,441,640
|568,927,624,952
+621,784,970,788
|665,783,795,981
|386,610,817,730
|440,399,734,417
|939,201,978,803
-395,883,554,929
+340,309,637,561
-875,147,946,481
-945,837,957,922
-429,982,691,991
|227,137,439,822
|4,848,7,932
-545,146,756,943
+763,863,937,994
+232,94,404,502
-742,254,930,512
+91,931,101,942
|585,106,651,425
+506,700,567,960
-548,44,718,352
-194,827,673,859
-6,645,509,764
-13,230,821,361
+734,629,919,631
|788,552,957,972
|244,747,849,773
-162,553,276,887
-569,577,587,604
-799,482,854,956
+744,535,909,802
|330,641,396,986
-927,458,966,564
|984,486,986,913
|519,682,632,708
+984,977,989,986
|766,423,934,495
+17,509,947,718
+413,783,631,903
+482,370,493,688
+433,859,628,938
-769,549,945,810
+178,853,539,941
-203,251,692,433
-525,638,955,794
+169,70,764,939
|59,352,896,404
|143,245,707,320
-103,35,160,949
|496,24,669,507
-581,847,847,903
+689,153,733,562
+821,487,839,699
+837,627,978,723
|96,748,973,753
|99,818,609,995
+731,193,756,509
-622,55,813,365
+456,490,576,548
+48,421,163,674
-853,861,924,964
-59,963,556,987
+458,710,688,847
|12,484,878,562
-241,964,799,983
-434,299,845,772
|896,725,956,847
+740,289,784,345
-395,840,822,845
+955,224,996,953
-710,186,957,722
-485,949,869,985
+848,209,975,376
|221,241,906,384
+588,49,927,496
+273,332,735,725
+505,962,895,962
|820,112,923,143
+919,792,978,982
|489,461,910,737
-202,642,638,940
-708,953,970,960
|437,291,546,381
+409,358,837,479
-756,279,870,943
-154,657,375,703
-524,622,995,779
|514,221,651,850
|808,464,886,646
|483,537,739,840
|654,769,831,825
-326,37,631,69
-590,570,926,656
-881,913,911,998
+996,102,998,616
-677,503,828,563
+860,251,877,441
-964,100,982,377
|888,403,961,597
-632,240,938,968
|731,176,932,413
+5,498,203,835
+819,352,929,855
|393,813,832,816
|725,689,967,888
+968,950,969,983
-152,628,582,896
-165,844,459,935
-882,741,974,786
-283,179,731,899
|197,366,682,445
+106,309,120,813
|950,387,967,782
-274,603,383,759
-155,665,284,787
|551,871,860,962
-30,826,598,892
|76,552,977,888
+938,180,994,997
|62,381,993,656
|625,861,921,941
+685,311,872,521
+124,934,530,962
+606,379,961,867
-792,735,946,783
+417,480,860,598
|178,91,481,887
-23,935,833,962
|317,14,793,425
+986,89,999,613
-359,201,560,554
-729,494,942,626
+204,143,876,610
|474,97,636,542
-902,924,976,973
-389,442,824,638
-622,863,798,863
+840,622,978,920
|567,374,925,439
-643,319,935,662
|185,42,294,810
+47,124,598,880
|828,303,979,770
-174,272,280,311
-540,50,880,212
+141,994,221,998
+476,695,483,901
+960,216,972,502
|752,335,957,733
-419,713,537,998
|772,846,994,888
+881,159,902,312
-537,651,641,816
|561,947,638,965
+368,458,437,612
+290,149,705,919
+711,918,974,945
|916,242,926,786
|522,272,773,314
+432,897,440,954
-132,169,775,380
|52,205,693,747
|926,309,976,669
-838,342,938,444
+144,431,260,951
|780,318,975,495
-185,412,796,541
+879,548,892,860
+294,132,460,338
+823,500,899,529
-225,603,483,920
|717,493,930,875
|534,948,599,968
+522,730,968,950
-102,229,674,529
